cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;chuvas leves;22;24;22;97;93;12;6:46pm;Mediano;8:11pm - 10:11pm;0.9;30/12/2021
Aracaju;SE;céu parcialmente nublado;27;27;27;21;80;26;5:54pm;Mediano;7:41pm - 9:41pm;2.0;30/12/2021
Arraial do Cabo;RJ;chuvas leves;23;24;23;70;93;28;6:37pm;Mediano;8:01pm - 10:01pm;0.2;30/12/2021
Balneário Camboriu;SC;chuvas leves;23;25;23;100;86;24;7:12pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Barreirinhas;MA;céu nublado;27;28;27;85;80;32;6:00pm;Mediano;8:04pm - 10:04pm;2.4;30/12/2021
Bertioga;SP;chuvas leves;23;24;23;56;88;19;6:55pm;Mediano;8:18pm - 10:18pm;1.2;30/12/2021
Bombinhas;SC;chuvas leves;22;26;22;81;87;25;7:12pm;Mediano;8:28pm - 10:28pm;0.8;30/12/2021
Búzios;RJ;chuvas leves;24;25;24;55;89;36;6:35pm;Mediano;8:00pm - 10:00pm;0.3;30/12/2021
Cabo Frio;RJ;chuvas leves;23;24;23;70;93;28;6:37pm;Mediano;8:01pm - 10:01pm;0.2;30/12/2021
Enseada;SP;chuvas leves;22;24;22;98;92;19;6:49pm;Mediano;8:13pm - 10:13pm;0.9;30/12/2021
Fernando de Noronha;PE;chuvas leves;27;27;27;63;80;27;6:22pm;Mediano;8:23pm - 10:23pm;2.0;30/12/2021
Florianópolis;SC;períodos de chuva ao longo do dia;22;25;22;81;85;26;7:13pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Fortaleza;CE;céu nublado;27;28;27;89;83;24;5:47pm;Mediano;7:48pm - 9:48pm;2.3;30/12/2021
Guarujá;SP;chuvas leves;23;24;23;56;88;19;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Ilha Bela;SP;chuvas leves;23;24;23;100;85;28;6:52pm;Mediano;8:15pm - 10:15pm;1.2;30/12/2021
Ilhéus;BA;períodos de chuva ao longo do dia;24;27;24;89;89;20;6:08pm;Mediano;7:49pm - 9:49pm;2.0;30/12/2021
Itanhaém;SP;chuvas leves;23;24;23;77;85;22;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Jaboatão dos Guararapes;PE;céu parcialmente nublado;27;27;27;14;69;26;5:40pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Jijoca de Jericoacoara;CE;chuvas leves;27;28;27;50;81;36;5:55pm;Mediano;7:59pm - 9:59pm;2.4;30/12/2021
João Pessoa;PB;céu parcialmente nublado;27;28;27;58;74;24;5:38pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Lagoinha;SP;períodos de chuva ao longo do dia;22;25;22;81;85;26;7:13pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Lauro de Freitas;BA;períodos de chuva ao longo do dia;27;27;27;83;79;27;6:03pm;Mediano;7:47pm - 9:47pm;2.0;30/12/2021
Macaé;RJ;chuvas leves;23;24;23;93;93;27;6:34pm;Mediano;8:00pm - 10:00pm;0.2;30/12/2021
Macapá;AP;chuvas leves;25;27;25;51;91;22;6:29pm;Mediano;8:39pm - 10:39pm;4.8;30/12/2021
Maceió;AL;céu parcialmente nublado;26;27;26;15;73;26;5:46pm;Mediano;7:36pm - 9:36pm;2.0;30/12/2021
Marechal Deodoro;AL;céu parcialmente nublado;26;27;26;15;73;26;5:46pm;Mediano;7:36pm - 9:36pm;2.0;30/12/2021
Morro de São Paulo;BA;períodos de chuva ao longo do dia;26;27;26;77;82;30;6:05pm;Mediano;7:49pm - 9:49pm;2.0;30/12/2021
Natal;RN;céu parcialmente nublado;27;29;27;47;72;24;5:37pm;Mediano;7:34pm - 9:34pm;2.0;30/12/2021
Niterói;RJ;chuvas fortes ao longo do dia;23;26;23;83;95;18;6:41pm;Mediano;8:06pm - 10:06pm;0.3;30/12/2021
Olinda;PE;céu parcialmente nublado;27;27;27;14;69;26;5:40pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Paranaguá;PR;chuvas leves;23;24;23;79;85;18;7:08pm;Mediano;8:28pm - 10:28pm;1.3;30/12/2021
Paraty;RJ;chuvas leves;22;24;22;98;92;19;6:49pm;Mediano;8:13pm - 10:13pm;0.9;30/12/2021
Parnaíba;PI;chuvas leves;27;28;27;75;81;34;5:58pm;Mediano;8:02pm - 10:02pm;2.3;30/12/2021
Pedra Grande;RN;céu parcialmente nublado;26;28;26;8;71;21;5:43pm;Mediano;7:34pm - 9:34pm;2.0;30/12/2021
Peruíbe;SP;chuvas leves;23;24;23;77;85;22;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Ponta Negra;RN;céu parcialmente nublado;27;29;27;47;72;24;5:37pm;Mediano;7:34pm - 9:34pm;2.0;30/12/2021
Porto de Galinhas;PE;céu parcialmente nublado;26;28;26;7;70;21;5:41pm;Mediano;7:33pm - 9:33pm;2.0;30/12/2021
Porto Seguro;BA;céu parcialmente nublado;26;26;26;23;84;24;6:11pm;Mediano;7:49pm - 9:49pm;2.0;30/12/2021
Praia Grande;SP;chuvas leves;23;24;23;77;85;22;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Recife;PE;céu parcialmente nublado;27;27;27;14;69;26;5:40pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Rio das Ostras;RJ;chuvas leves;23;24;23;93;93;27;6:34pm;Mediano;8:00pm - 10:00pm;0.3;30/12/2021
Rio de Janeiro;RJ;chuvas fortes ao longo do dia;23;26;23;83;95;18;6:41pm;Mediano;8:06pm - 10:06pm;0.3;30/12/2021
Salvador;BA;períodos de chuva ao longo do dia;26;27;26;79;82;27;6:04pm;Mediano;7:48pm - 9:48pm;2.0;30/12/2021
Santos;SP;chuvas leves;23;24;23;56;88;19;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
São Luis;MA;chuvas leves;26;28;26;52;88;20;6:08pm;Mediano;8:13pm - 10:13pm;5.4;30/12/2021
São Mateus;ES;períodos de chuva ao longo do dia;25;26;25;89;88;19;6:19pm;Mediano;7:52pm - 9:52pm;2.0;30/12/2021
São Sebastião;SP;chuvas leves;23;24;23;100;85;28;6:52pm;Mediano;8:15pm - 10:15pm;1.2;30/12/2021
Tibau do Sul;RN;céu nublado;27;28;27;67;77;30;5:37pm;Mediano;7:33pm - 9:33pm;2.0;30/12/2021
Ubatuba;SP;chuvas leves;22;24;22;98;92;19;6:49pm;Mediano;8:13pm - 10:13pm;0.9;30/12/2021
Vila Velha;ES;céu parcialmente nublado;25;26;25;49;85;17;6:24pm;Mediano;7:54pm - 9:54pm;1.3;30/12/2021
Angra dos Reis;RJ;períodos de chuva ao longo do dia;27;27;27;76;74;18;6:47pm;Mediano;1:54pm - 3:54pm;1.0;05/01/2022
Aracaju;SE;céu parcialmente nublado;25;27;25;9;68;17;5:56pm;Mediano;1:25pm - 3:25pm;2.2;05/01/2022
Arraial do Cabo;RJ;céu parcialmente nublado;25;25;25;47;79;34;6:38pm;Mediano;1:45pm - 3:45pm;1.1;05/01/2022
Balneário Camboriu;SC;períodos de chuva ao longo do dia;26;26;26;84;77;24;7:13pm;Mediano;2:11pm - 4:11pm;0.9;05/01/2022
Barreirinhas;MA;chuvas leves;27;27;27;59;73;39;6:03pm;Mediano;1:48pm - 3:48pm;2.5;05/01/2022
Bertioga;SP;períodos de chuva ao longo do dia;28;28;28;85;74;7;6:57pm;Mediano;2:02pm - 4:02pm;1.4;05/01/2022
Bombinhas;SC;períodos de chuva ao longo do dia;26;26;26;88;73;24;7:13pm;Mediano;2:11pm - 4:11pm;0.9;05/01/2022
Búzios;RJ;céu parcialmente nublado;26;26;26;47;78;37;6:37pm;Mediano;1:44pm - 3:44pm;1.2;05/01/2022
Cabo Frio;RJ;céu parcialmente nublado;25;25;25;47;79;34;6:38pm;Mediano;1:45pm - 3:45pm;1.1;05/01/2022
Enseada;SP;céu parcialmente nublado;28;28;28;46;67;11;6:51pm;Mediano;1:57pm - 3:57pm;1.1;05/01/2022
Fernando de Noronha;PE;períodos de chuva ao longo do dia;27;27;27;89;78;26;6:25pm;Mediano;2:07pm - 4:07pm;2.1;05/01/2022
Florianópolis;SC;períodos de chuva ao longo do dia;24;24;24;75;76;27;7:14pm;Mediano;2:11pm - 4:11pm;0.8;05/01/2022
Fortaleza;CE;períodos de chuva ao longo do dia;27;27;27;70;77;24;5:50pm;Mediano;1:32pm - 3:32pm;2.4;05/01/2022
Guarujá;SP;períodos de chuva ao longo do dia;28;28;28;73;74;7;6:57pm;Mediano;2:02pm - 4:02pm;1.4;05/01/2022
Ilha Bela;SP;céu parcialmente nublado;27;27;27;33;78;9;6:53pm;Mediano;1:58pm - 3:58pm;1.1;05/01/2022
Ilhéus;BA;céu nublado;27;28;27;100;66;14;6:10pm;Mediano;1:34pm - 3:34pm;2.2;05/01/2022
Itanhaém;SP;céu parcialmente nublado;27;27;27;33;82;4;6:58pm;Mediano;2:03pm - 4:03pm;1.4;05/01/2022
Jaboatão dos Guararapes;PE;chuvas leves;27;27;27;86;75;26;5:43pm;Mediano;1:17pm - 3:17pm;2.2;05/01/2022
Jijoca de Jericoacoara;CE;chuvas leves;27;27;27;56;74;33;5:58pm;Mediano;1:43pm - 3:43pm;2.5;05/01/2022
João Pessoa;PB;períodos de chuva ao longo do dia;28;28;28;73;68;21;5:41pm;Mediano;1:17pm - 3:17pm;2.2;05/01/2022
Lagoinha;SP;períodos de chuva ao longo do dia;24;24;24;75;76;27;7:14pm;Mediano;2:11pm - 4:11pm;0.8;05/01/2022
Lauro de Freitas;BA;céu parcialmente nublado;27;27;27;33;72;15;6:05pm;Mediano;1:31pm - 3:31pm;2.2;05/01/2022
Macaé;RJ;céu parcialmente nublado;25;25;25;44;79;22;6:36pm;Mediano;1:44pm - 3:44pm;1.2;05/01/2022
Macapá;AP;chuvas leves;27;27;27;87;82;11;6:32pm;Mediano;2:24pm - 4:24pm;5.1;05/01/2022
Maceió;AL;períodos de chuva ao longo do dia;28;28;28;84;68;24;5:49pm;Mediano;1:20pm - 3:20pm;2.2;05/01/2022
Marechal Deodoro;AL;períodos de chuva ao longo do dia;28;28;28;80;68;24;5:49pm;Mediano;1:20pm - 3:20pm;2.2;05/01/2022
Morro de São Paulo;BA;céu parcialmente nublado;24;26;24;14;69;17;6:07pm;Mediano;1:33pm - 3:33pm;2.2;05/01/2022
Natal;RN;céu parcialmente nublado;28;29;28;6;55;24;5:40pm;Mediano;1:18pm - 3:18pm;2.2;05/01/2022
Niterói;RJ;céu parcialmente nublado;26;27;26;58;71;13;6:42pm;Mediano;1:49pm - 3:49pm;1.2;05/01/2022
Olinda;PE;chuvas leves;27;27;27;86;75;26;5:43pm;Mediano;1:17pm - 3:17pm;2.2;05/01/2022
Paranaguá;PR;céu nublado;26;26;26;66;79;13;7:10pm;Mediano;2:11pm - 4:11pm;1.2;05/01/2022
Paraty;RJ;céu parcialmente nublado;28;28;28;46;67;11;6:51pm;Mediano;1:57pm - 3:57pm;1.2;05/01/2022
Parnaíba;PI;chuvas leves;28;28;28;52;71;35;6:01pm;Mediano;1:46pm - 3:46pm;2.4;05/01/2022
Pedra Grande;RN;períodos de chuva ao longo do dia;28;28;28;76;65;21;5:45pm;Mediano;1:18pm - 3:18pm;2.2;05/01/2022
Peruíbe;SP;céu parcialmente nublado;27;27;27;33;82;4;6:58pm;Mediano;2:03pm - 4:03pm;1.4;05/01/2022
Ponta Negra;RN;céu parcialmente nublado;28;29;28;6;55;24;5:40pm;Mediano;1:18pm - 3:18pm;2.2;05/01/2022
Porto de Galinhas;PE;chuvas leves;28;28;28;68;70;23;5:44pm;Mediano;1:17pm - 3:17pm;2.2;05/01/2022
Porto Seguro;BA;céu parcialmente nublado;27;27;27;30;73;15;6:13pm;Mediano;1:33pm - 3:33pm;2.1;05/01/2022
Praia Grande;SP;céu parcialmente nublado;27;27;27;33;82;4;6:58pm;Mediano;2:03pm - 4:03pm;1.4;05/01/2022
Recife;PE;chuvas leves;27;27;27;86;75;26;5:43pm;Mediano;1:17pm - 3:17pm;2.2;05/01/2022
Rio das Ostras;RJ;céu parcialmente nublado;25;25;25;44;79;22;6:36pm;Mediano;1:44pm - 3:44pm;1.2;05/01/2022
Rio de Janeiro;RJ;céu parcialmente nublado;26;27;26;58;71;13;6:43pm;Mediano;1:50pm - 3:50pm;1.2;05/01/2022
Salvador;BA;céu parcialmente nublado;27;27;27;29;71;15;6:06pm;Mediano;1:32pm - 3:32pm;2.2;05/01/2022
Santos;SP;períodos de chuva ao longo do dia;28;28;28;73;74;7;6:57pm;Mediano;2:02pm - 4:02pm;1.4;05/01/2022
São Luis;MA;períodos de chuva ao longo do dia;27;27;27;80;74;12;6:11pm;Mediano;1:57pm - 3:57pm;5.6;05/01/2022
São Mateus;ES;céu parcialmente nublado;24;26;24;9;74;23;6:20pm;Mediano;1:36pm - 3:36pm;2.2;05/01/2022
São Sebastião;SP;céu parcialmente nublado;27;27;27;33;78;9;6:53pm;Mediano;1:58pm - 3:58pm;1.1;05/01/2022
Tibau do Sul;RN;céu parcialmente nublado;26;28;26;12;65;26;5:40pm;Mediano;1:18pm - 3:18pm;2.2;05/01/2022
Ubatuba;SP;céu parcialmente nublado;28;28;28;46;67;11;6:51pm;Mediano;1:57pm - 3:57pm;1.2;05/01/2022
Vila Velha;ES;céu parcialmente nublado;26;26;26;27;73;26;6:26pm;Mediano;1:38pm - 3:38pm;1.4;05/01/2022
Angra dos Reis;RJ;períodos de chuva ao longo do dia;25;25;25;78;83;28;6:48pm;Mediano;2:45pm - 4:45pm;1.0;06/01/2022
Aracaju;SE;céu parcialmente nublado;26;28;26;44;77;24;5:56pm;Mediano;2:17pm - 4:17pm;2.1;06/01/2022
Arraial do Cabo;RJ;períodos de chuva ao longo do dia;23;24;23;69;94;31;6:38pm;Mediano;2:36pm - 4:36pm;1.1;06/01/2022
Balneário Camboriu;SC;céu nublado;22;23;22;87;89;30;7:13pm;Mediano;3:02pm - 5:02pm;0.9;06/01/2022
Barreirinhas;MA;céu nublado;27;28;27;84;80;34;6:03pm;Mediano;2:40pm - 4:40pm;2.4;06/01/2022
Bertioga;SP;chuvas leves;24;24;24;98;90;12;6:57pm;Mediano;2:53pm - 4:53pm;1.3;06/01/2022
Bombinhas;SC;céu nublado;21;24;21;89;91;26;7:14pm;Mediano;3:02pm - 5:02pm;0.9;06/01/2022
Búzios;RJ;céu nublado;23;24;23;52;95;37;6:37pm;Mediano;2:35pm - 4:35pm;1.2;06/01/2022
Cabo Frio;RJ;períodos de chuva ao longo do dia;23;24;23;69;94;31;6:38pm;Mediano;2:36pm - 4:36pm;1.1;06/01/2022
Enseada;SP;períodos de chuva ao longo do dia;23;24;23;70;87;23;6:51pm;Mediano;2:48pm - 4:48pm;1.1;06/01/2022
Fernando de Noronha;PE;céu nublado;27;27;27;69;76;29;6:25pm;Mediano;2:59pm - 4:59pm;2.1;06/01/2022
Florianópolis;SC;chuvas leves;21;23;21;100;93;27;7:14pm;Mediano;3:02pm - 5:02pm;0.8;06/01/2022
Fortaleza;CE;chuvas leves;26;28;26;68;85;24;5:50pm;Mediano;2:24pm - 4:24pm;2.3;06/01/2022
Guarujá;SP;chuvas leves;24;24;24;98;90;12;6:57pm;Mediano;2:54pm - 4:54pm;1.3;06/01/2022
Ilha Bela;SP;períodos de chuva ao longo do dia;24;24;24;76;90;25;6:54pm;Mediano;2:50pm - 4:50pm;1.1;06/01/2022
Ilhéus;BA;céu parcialmente nublado;23;27;23;46;88;23;6:11pm;Mediano;2:25pm - 4:25pm;2.1;06/01/2022
Itanhaém;SP;chuvas leves;24;24;24;86;88;15;6:58pm;Mediano;2:54pm - 4:54pm;1.3;06/01/2022
Jaboatão dos Guararapes;PE;chuvas leves;26;28;26;71;82;30;5:43pm;Mediano;2:08pm - 4:08pm;2.1;06/01/2022
Jijoca de Jericoacoara;CE;céu parcialmente nublado;26;27;26;52;80;36;5:58pm;Mediano;2:34pm - 4:34pm;2.4;06/01/2022
João Pessoa;PB;períodos de chuva ao longo do dia;26;28;26;75;80;16;5:41pm;Mediano;2:08pm - 4:08pm;2.1;06/01/2022
Lagoinha;SP;chuvas leves;21;23;21;100;93;27;7:14pm;Mediano;3:02pm - 5:02pm;0.8;06/01/2022
Lauro de Freitas;BA;períodos de chuva ao longo do dia;26;27;26;70;79;27;6:05pm;Mediano;2:23pm - 4:23pm;2.1;06/01/2022
Macaé;RJ;céu nublado;23;24;23;53;96;20;6:36pm;Mediano;2:35pm - 4:35pm;1.2;06/01/2022
Macapá;AP;chuvas leves;23;27;23;60;94;20;6:32pm;Mediano;3:14pm - 5:14pm;5.0;06/01/2022
Maceió;AL;céu nublado;26;28;26;84;74;30;5:49pm;Mediano;2:12pm - 4:12pm;2.1;06/01/2022
Marechal Deodoro;AL;céu nublado;26;28;26;84;74;30;5:49pm;Mediano;2:12pm - 4:12pm;2.1;06/01/2022
Morro de São Paulo;BA;chuvas leves;26;27;26;82;82;32;6:08pm;Mediano;2:25pm - 4:25pm;2.1;06/01/2022
Natal;RN;períodos de chuva ao longo do dia;26;29;26;63;78;18;5:40pm;Mediano;2:10pm - 4:10pm;2.1;06/01/2022
Niterói;RJ;céu nublado;24;27;24;66;85;14;6:43pm;Mediano;2:40pm - 4:40pm;1.2;06/01/2022
Olinda;PE;chuvas leves;26;28;26;71;82;30;5:43pm;Mediano;2:08pm - 4:08pm;2.1;06/01/2022
Paranaguá;PR;chuvas leves;24;24;24;98;84;37;7:10pm;Mediano;3:03pm - 5:03pm;1.2;06/01/2022
Paraty;RJ;períodos de chuva ao longo do dia;23;24;23;70;87;23;6:51pm;Mediano;2:48pm - 4:48pm;1.2;06/01/2022
Parnaíba;PI;céu parcialmente nublado;27;28;27;61;80;37;6:01pm;Mediano;2:37pm - 4:37pm;2.3;06/01/2022
Pedra Grande;RN;céu nublado;26;28;26;78;76;21;5:46pm;Mediano;2:10pm - 4:10pm;2.1;06/01/2022
Peruíbe;SP;chuvas leves;24;24;24;86;88;15;6:58pm;Mediano;2:54pm - 4:54pm;1.3;06/01/2022
Ponta Negra;RN;períodos de chuva ao longo do dia;26;29;26;63;78;18;5:40pm;Mediano;2:10pm - 4:10pm;2.1;06/01/2022
Porto de Galinhas;PE;chuvas leves;26;28;26;84;80;24;5:44pm;Mediano;2:09pm - 4:09pm;2.1;06/01/2022
Porto Seguro;BA;céu parcialmente nublado;25;27;25;39;85;32;6:14pm;Mediano;2:25pm - 4:25pm;2.1;06/01/2022
Praia Grande;SP;chuvas leves;24;24;24;86;88;15;6:58pm;Mediano;2:54pm - 4:54pm;1.3;06/01/2022
Recife;PE;chuvas leves;26;28;26;71;82;30;5:43pm;Mediano;2:08pm - 4:08pm;2.1;06/01/2022
Rio das Ostras;RJ;céu nublado;23;24;23;53;96;20;6:36pm;Mediano;2:35pm - 4:35pm;1.2;06/01/2022
Rio de Janeiro;RJ;céu nublado;24;27;24;66;85;14;6:43pm;Mediano;2:41pm - 4:41pm;1.2;06/01/2022
Salvador;BA;chuvas leves;25;27;25;64;83;27;6:06pm;Mediano;2:23pm - 4:23pm;2.1;06/01/2022
Santos;SP;chuvas leves;24;24;24;98;90;12;6:57pm;Mediano;2:54pm - 4:54pm;1.3;06/01/2022
São Luis;MA;chuvas leves;24;28;24;76;92;27;6:11pm;Mediano;2:49pm - 4:49pm;5.4;06/01/2022
São Mateus;ES;céu parcialmente nublado;25;28;25;31;86;44;6:21pm;Mediano;2:27pm - 4:27pm;2.1;06/01/2022
São Sebastião;SP;períodos de chuva ao longo do dia;24;24;24;76;90;25;6:54pm;Mediano;2:50pm - 4:50pm;1.1;06/01/2022
Tibau do Sul;RN;céu parcialmente nublado;27;28;27;61;74;28;5:40pm;Mediano;2:09pm - 4:09pm;2.1;06/01/2022
Ubatuba;SP;períodos de chuva ao longo do dia;23;24;23;70;87;23;6:51pm;Mediano;2:48pm - 4:48pm;1.2;06/01/2022
Vila Velha;ES;céu parcialmente nublado;25;27;25;51;83;33;6:26pm;Mediano;2:29pm - 4:29pm;1.4;06/01/2022
Angra dos Reis;RJ;chuvas leves;23;24;23;55;85;19;6:48pm;Mediano;3:33pm - 5:33pm;1.0;07/01/2022
Aracaju;SE;céu parcialmente nublado;27;28;27;24;84;36;5:57pm;Mediano;3:04pm - 5:04pm;2.0;07/01/2022
Arraial do Cabo;RJ;chuvas leves;24;24;24;98;88;14;6:39pm;Mediano;3:23pm - 5:23pm;1.0;07/01/2022
Balneário Camboriu;SC;céu nublado;22;24;22;64;69;35;7:13pm;Mediano;3:49pm - 5:49pm;0.8;07/01/2022
Barreirinhas;MA;céu parcialmente nublado;27;28;27;35;82;31;6:04pm;Mediano;3:27pm - 5:27pm;2.3;07/01/2022
Bertioga;SP;chuvas leves;23;24;23;83;83;23;6:57pm;Mediano;3:40pm - 5:40pm;1.2;07/01/2022
Bombinhas;SC;céu nublado;22;24;22;86;71;36;7:14pm;Mediano;3:49pm - 5:49pm;0.8;07/01/2022
Búzios;RJ;chuvas leves;23;24;23;74;89;18;6:37pm;Mediano;3:23pm - 5:23pm;1.1;07/01/2022
Cabo Frio;RJ;chuvas leves;24;24;24;98;88;14;6:39pm;Mediano;3:23pm - 5:23pm;1.0;07/01/2022
Enseada;SP;chuvas leves;22;23;22;71;89;26;6:51pm;Mediano;3:35pm - 5:35pm;1.0;07/01/2022
Fernando de Noronha;PE;céu nublado;27;27;27;65;76;25;6:26pm;Mediano;3:46pm - 5:46pm;2.0;07/01/2022
Florianópolis;SC;céu nublado;21;23;21;94;73;29;7:14pm;Mediano;3:49pm - 5:49pm;0.8;07/01/2022
Fortaleza;CE;céu parcialmente nublado;27;28;27;14;76;25;5:50pm;Mediano;3:11pm - 5:11pm;2.2;07/01/2022
Guarujá;SP;chuvas leves;23;24;23;83;83;23;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Ilha Bela;SP;chuvas leves;23;24;23;51;86;11;6:54pm;Mediano;3:37pm - 5:37pm;1.1;07/01/2022
Ilhéus;BA;períodos de chuva ao longo do dia;26;28;26;77;89;26;6:11pm;Mediano;3:12pm - 5:12pm;2.0;07/01/2022
Itanhaém;SP;chuvas leves;24;24;24;52;84;27;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Jaboatão dos Guararapes;PE;céu parcialmente nublado;27;28;27;56;74;28;5:43pm;Mediano;2:55pm - 4:55pm;2.0;07/01/2022
Jijoca de Jericoacoara;CE;períodos de chuva ao longo do dia;27;27;27;87;81;39;5:59pm;Mediano;3:21pm - 5:21pm;2.3;07/01/2022
João Pessoa;PB;períodos de chuva ao longo do dia;27;28;27;59;76;20;5:41pm;Mediano;2:56pm - 4:56pm;2.0;07/01/2022
Lagoinha;SP;céu nublado;21;23;21;94;73;29;7:14pm;Mediano;3:49pm - 5:49pm;0.8;07/01/2022
Lauro de Freitas;BA;períodos de chuva ao longo do dia;27;28;27;77;82;35;6:05pm;Mediano;3:10pm - 5:10pm;2.0;07/01/2022
Macaé;RJ;chuvas leves;22;24;22;72;94;16;6:36pm;Mediano;3:22pm - 5:22pm;1.1;07/01/2022
Macapá;AP;chuvas leves;24;27;24;52;92;16;6:32pm;Mediano;4:02pm - 6:02pm;4.8;07/01/2022
Maceió;AL;céu parcialmente nublado;27;28;27;26;80;44;5:49pm;Mediano;2:59pm - 4:59pm;2.0;07/01/2022
Marechal Deodoro;AL;céu parcialmente nublado;27;28;27;26;80;44;5:49pm;Mediano;2:59pm - 4:59pm;2.0;07/01/2022
Morro de São Paulo;BA;períodos de chuva ao longo do dia;27;27;27;86;85;34;6:08pm;Mediano;3:12pm - 5:12pm;2.0;07/01/2022
Natal;RN;céu parcialmente nublado;27;29;27;58;76;19;5:40pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Niterói;RJ;chuvas leves;23;24;23;81;89;21;6:43pm;Mediano;3:28pm - 5:28pm;1.1;07/01/2022
Olinda;PE;céu parcialmente nublado;27;28;27;56;74;28;5:43pm;Mediano;2:55pm - 4:55pm;2.0;07/01/2022
Paranaguá;PR;chuvas leves;24;24;24;75;71;30;7:10pm;Mediano;3:49pm - 5:49pm;1.2;07/01/2022
Paraty;RJ;chuvas leves;22;23;22;71;89;26;6:51pm;Mediano;3:35pm - 5:35pm;1.1;07/01/2022
Parnaíba;PI;períodos de chuva ao longo do dia;27;28;27;81;81;39;6:01pm;Mediano;3:24pm - 5:24pm;2.2;07/01/2022
Pedra Grande;RN;céu parcialmente nublado;27;28;27;53;80;26;5:46pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Peruíbe;SP;chuvas leves;24;24;24;52;84;27;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Ponta Negra;RN;céu parcialmente nublado;27;29;27;58;76;19;5:40pm;Mediano;2:57pm - 4:57pm;2.0;07/01/2022
Porto de Galinhas;PE;céu nublado;27;28;27;67;78;26;5:44pm;Mediano;2:56pm - 4:56pm;2.0;07/01/2022
Porto Seguro;BA;chuvas leves;25;28;25;57;88;33;6:14pm;Mediano;3:11pm - 5:11pm;2.0;07/01/2022
Praia Grande;SP;chuvas leves;24;24;24;52;84;27;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
Recife;PE;céu parcialmente nublado;27;28;27;56;74;28;5:43pm;Mediano;2:55pm - 4:55pm;2.0;07/01/2022
Rio das Ostras;RJ;chuvas leves;22;24;22;72;94;16;6:36pm;Mediano;3:22pm - 5:22pm;1.1;07/01/2022
Rio de Janeiro;RJ;chuvas leves;23;24;23;81;89;21;6:43pm;Mediano;3:28pm - 5:28pm;1.1;07/01/2022
Salvador;BA;períodos de chuva ao longo do dia;27;28;27;70;83;35;6:06pm;Mediano;3:10pm - 5:10pm;2.0;07/01/2022
Santos;SP;chuvas leves;23;24;23;83;83;23;6:58pm;Mediano;3:41pm - 5:41pm;1.2;07/01/2022
São Luis;MA;períodos de chuva ao longo do dia;25;28;25;70;90;20;6:12pm;Mediano;3:35pm - 5:35pm;5.1;07/01/2022
São Mateus;ES;chuvas leves;23;25;23;64;93;11;6:21pm;Mediano;3:14pm - 5:14pm;2.0;07/01/2022
São Sebastião;SP;chuvas leves;23;24;23;51;86;11;6:54pm;Mediano;3:37pm - 5:37pm;1.0;07/01/2022
Tibau do Sul;RN;períodos de chuva ao longo do dia;27;28;27;76;78;24;5:40pm;Mediano;2:56pm - 4:56pm;2.0;07/01/2022
Ubatuba;SP;chuvas leves;22;23;22;71;89;26;6:51pm;Mediano;3:35pm - 5:35pm;1.1;07/01/2022
Vila Velha;ES;chuvas leves;23;24;23;100;94;13;6:26pm;Mediano;3:16pm - 5:16pm;1.3;07/01/2022
